title,releaseDate,retailPrice
adidas CodeChaos Cloud White,2020-01-31 23:59:59,150.0
adidas CodeChaos Signal Green (W),2020-01-31 23:59:59,130.0
adidas CodeChaos Metal Grey (W),2020-01-31 23:59:59,130.0
Air VaporMax 360 Triple Black (W),2020-01-30 23:59:59,225.0
Air VaporMax 360 Blue Void Magic Ember (W),2020-01-30 23:59:59,225.0
Jordan 13 Retro Playground (GS),2020-01-30 23:59:59,140.0
Jordan 13 Retro Playground (TD),2020-01-30 23:59:59,60.0
Jordan 5 Retro Oil Grey (W),2020-01-30 23:59:59,190.0
Jordan 13 Retro Playground (PS),2020-01-30 23:59:59,80.0
Air VaporMax 360 OG Grey Red,2020-01-30 23:59:59,225.0
Nike Blazer Mid 77 Suede Thunderstorm,2020-01-30 23:59:59,100.0
Air Max 270 React Eng Photo Dust (W),2020-01-30 23:59:59,170.0
Air Max 270 React Eng Laser Crimson Laser Orange,2020-01-30 23:59:59,170.0
Air Max 200 Blueprint,2020-01-30 23:59:59,120.0
adidas 4D Run 1.0 Parley,2020-01-30 23:59:59,220.0
adidas Stan Smith Human Made,2020-01-30 23:59:59,140.0
adidas Matchbreak Super Collegiate Green,2020-01-30 23:59:59,70.0
Air Barrage Mid Super Bowl LIV,2020-01-29 23:59:59,140.0
Air Barrage Low Super Bowl LIV,2020-01-29 23:59:59,130.0
Air VaporMax Flyknit 3 Vast Grey Electric Green,2020-01-29 23:59:59,200.0
New Balance 577 Multi,2020-01-29 23:59:59,200.0
Nike React Presto Undercover White,2020-01-28 23:59:59,180.0
Nike React Presto Undercover Black,2020-01-28 23:59:59,180.0
Nike React Presto Undercover Mahogany,2020-01-28 23:59:59,180.0
Air Max 97 G Grass,2020-01-28 23:59:59,190.0
New Balance 990v5 Molten Lava,2020-01-28 23:59:59,175.0
Jordan Maxin 200 Black Gym Red,2020-01-28 23:59:59,130.0
Jordan Mars 270 Citrus,2020-01-28 23:59:59,160.0
Jordan Maxin 200 Black Rush Blue,2020-01-28 23:59:59,130.0
Jordan Maxin 200 White Black Team Orange,2020-01-28 23:59:59,130.0
Converse Chuck Taylor All-Star Varsity 70s Hi Maruwa Tan,2020-01-28 23:59:59,100.0
Converse Chuck Taylor All-Star Varsity 70s Hi Maruwa Green,2020-01-28 23:59:59,100.0
New Balance X-Racer Steel Silver,2020-01-27 23:59:59,90.0
adidas Ultra Boost 20 Parley (W),2020-01-26 23:59:59,180.0
adidas Ultra Boost 20 Parley,2020-01-26 23:59:59,180.0
Converse Chuck Taylor All-Star 70s Ox Pigalle White,2020-01-25 23:59:59,120.0
Converse Chuck Taylor All-Star 70s Ox Pigalle Multi,2020-01-25 23:59:59,120.0
Jordan 6 Retro DMP (2020),2020-01-25 23:59:59,200.0
Jordan 6 Retro DMP 2020 (GS),2020-01-25 23:59:59,150.0
