id,brand,colorway,gender,releaseDate,retailPrice,title,year
7eeb36d3-f90d-4dfd-8194-85d196f845ef,Jordan,Black/Black-Dark Smoke Grey-Electric Green,child,2020-02-06 23:59:59,140.0,Jordan XXXIV Black Cat (GS),2020
c08c677e-b552-4328-8e50-0147a36ddad2,adidas,Grey Six/Semi Coral/Core Black,men,2020-02-06 23:59:59,120.0,adidas ZX 8000 Lethal Nights Black,2020
e8bd5955-6921-4071-91d1-023ced448af8,Nike,White/Particle Grey-Light Smoke Grey-Rose,toddler,2020-02-01 23:59:59,45.0,Air Max 90 Recraft Rose (I),2020
144386f5-98d4-46fd-8925-6711d51b9dd9,Nike,White/Particle Grey-Light Smoke Grey-Rose,child,2020-02-01 23:59:59,100.0,Air Max 90 Recraft Rose (GS),2020
026b3eb9-cbe3-4bc3-b9e8-85f3cbdb5492,Nike,White/Hyper Blue,men,2020-02-01 23:59:59,140.0,Air Barrage Low White Hyper Blue,2020
85e187ca-7226-47d7-a779-ad21f6b156b6,Nike,White/Particle Grey-Light Smoke Grey-Rose,women,2020-02-01 23:59:59,120.0,Air Max 90 Recraft Rose (W),2020
e7af872f-cc08-4cca-96a0-d9864d722132,Nike,White/Particle Grey-Light Smoke Grey-Rose,preschool,2020-02-01 23:59:59,80.0,Air Max 90 Recraft Rose (PS),2020
fe55bb27-b682-4915-a35c-ddc4195cb663,Nike,White/Particle Grey-Light Smoke Grey-Rose,toddler,2020-02-01 23:59:59,65.0,Air Max 90 Recraft Rose (TD),2020
39719882-c73a-4aec-8b7a-72062fcc563e,Jordan,Pine Green/Black-White,men,2020-02-01 23:59:59,90.0,Jordan 1 Low Pine Green,2020
187a3602-b459-4a8e-ac58-5bac8e2de10d,Jordan,Summit White/Metallic Gold,men,2020-02-01 23:59:59,160.0,Jordan Mars 270 Dream Team Ad Concord,2020
4d2a4af7-bc3b-441b-9f9a-0ff993e3428e,Jordan,Black/Black-Altitude Green,men,2020-02-01 23:59:59,125.0,Jordan Air Max 200 Altitude Green,2020
f0688e60-77eb-4746-8ff9-5eb16d3c987a,Jordan,Barely Rose/Sail-Atmosphere Grey-Black,women,2020-02-01 23:59:59,180.0,Jordan Air Latitude 720 Barely Rose (W),2020
ab9efb14-6449-43c3-b3b9-fe9d42380241,adidas,Scarlet/Solar Red/Boost Scarlet,men,2020-02-01 23:59:59,180.0,adidas Ultra Boost 20 Triple Red,2020
da9d7150-43ea-492f-9ae7-1829a1dd0b37,adidas,Core Black/Off White/Simple Brown,men,2020-02-01 23:59:59,120.0,adidas Yung-1 Leopard,2020
ed527c6b-3f50-47db-a09c-deded0d189b0,Nike,Oracle Aqua/Black-Opti Yellow-Total Orange,men,2020-02-01 23:59:59,130.0,Kyrie 6 Oracle Aqua,2020
62ba571f-c942-40ac-94cc-b35d9403f4a0,Nike,University Red/University Red,men,2020-02-01 23:59:59,110.0,Air Force 1 Low Triple Red,2020
a16b167b-b542-4b47-ad7b-b3d225a6ea85,Nike,White/Hyper Royal-Black-Particle Grey,men,2020-02-01 23:59:59,120.0,Air Max 90 Recraft Royal,2020
32de89be-da53-4272-a644-1915d7f8495b,Nike,Summit White/University Red,men,2020-02-01 23:59:59,80.0,Nike SB Shane Summit White University Red,2020
6ac67b5b-ed7d-4561-823a-51b33ed7fd82,Nike,Black/White-Black,men,2020-02-01 23:59:59,80.0,Nike SB Shane Black White,2020
63de7043-8d7a-4583-ab59-6661c3c8777b,Nike,Oracle Aqua/Black-Opti Yellow-Total Orange,child,2020-02-01 23:59:59,110.0,Kyrie 6 Oracle Aqua (GS),2020
7cb8e518-95c6-4629-94ca-85d9400c23ea,Nike,Summit White/Gum Light Brown-University Blue,men,2020-02-01 23:59:59,80.0,Nike SB Shane Summit White University Blue,2020
4f2cff84-ad8d-42d5-8268-cc7dfa20e60a,Jordan,Silver/White-Black,women,2020-02-01 23:59:59,125.0,Jordan 1 Mid SE Disco Metallic Silver (W),2020
e56af105-185f-4bb0-a13b-8a80970a3efe,adidas,Marsh/Marsh/Marsh,men,2020-02-01 23:59:59,220.0,adidas Yeezy Boost 350 V2 Marsh,2020
d49949ae-59f6-4dd9-9b9e-166e25a789ce,adidas,Cloud White/Cloud White/Green,men,2020-02-01 23:59:59,110.0,adidas Superstan Cloud White Green,2020
21c5e2aa-eecd-4b82-922d-27940b98c193,adidas,Grey Three/Core Black/Glory Purple,men,2020-02-01 23:59:59,100.0,adidas D.O.N. Issue #1 Joker,2020
182d7374-4c73-4a73-9472-7cc6a82545e1,adidas,Core Black/Metal Grey/Lush Blue,men,2020-02-01 23:59:59,130.0,adidas NMD R1 Black Metal Grey Lush Blue,2020
245cb7d2-f6d0-43fd-a9fc-b78b601ef5c3,adidas,Cloud White/Scarlet/Gold Metallic,women,2020-02-01 23:59:59,80.0,adidas Stan Smith Valentines Day 2020 (W),2020
43ddf468-0bdb-4b6f-9d9a-a4a9a268d609,adidas,Core Black/Core Black/Silver Metallic,men,2020-02-01 23:59:59,130.0,adidas Nite Jogger 3M Black Metallic,2020
8b002a0f-55ff-4d92-9a9a-4ddda16098d6,adidas,Cloud White/Core Black/Scarlet,men,2020-02-01 23:59:59,80.0,adidas Superstar Valentines Day White (2020),2020
8eda85aa-e47c-4af1-83a1-366dab40a97d,adidas,Cloud White/Cloud White/Scarlet,men,2020-02-01 23:59:59,80.0,adidas Stan Smith Valentines Day (2020),2020
946c9de1-e152-46f7-9da9-69b5316d90b0,adidas,Silver Metallic/Silver Metallic/Core Black,men,2020-02-01 23:59:59,130.0,adidas Nite Jogger 3M Silver Metallic,2020
95d1b49e-3ea9-4b1a-bc9a-ecff48b57d01,adidas,Collegiate Green/Cloud White/Gold Metallic,men,2020-02-01 23:59:59,85.0,adidas Campus Adv Collegiate Green White,2020
9db0605f-23a3-4654-ab5b-5a2f055429b1,adidas,White/Multi/Black,men,2020-02-01 23:59:59,120.0,adidas Alphaboost Multi,2020
a5cae277-30e2-40e4-a2c7-eea30f58a618,adidas,Metal Grey/Orbit Grey/Yellow,men,2020-02-01 23:59:59,130.0,adidas NMD R1 Metal Grey,2020
acc87d44-e5d9-405e-8dab-7c1eee23939c,adidas,Crystal White/Shock Red/Core Black,women,2020-02-01 23:59:59,60.0,adidas Nizza Trefoil Valentines Day 2020 (W),2020
b75a2e21-2667-4ced-ba44-e1bcd274a819,adidas,Core Black/Cloud White/Scarlet,men,2020-02-01 23:59:59,80.0,adidas Superstar Valentines Day Black (2020),2020
ed60a12a-86fa-4cee-9175-d27272899545,adidas,Cloud White/Core Black/Glory Pink,women,2020-02-01 23:59:59,90.0,adidas Superstar Valentines Day 2020 (W),2020
fc1c4f17-d9f2-44d3-84d4-12d4a673048a,adidas,Cloud White/Scarlet/Core Black,men,2020-02-01 23:59:59,110.0,adidas Dame 6 Dame Time,2020
bfc119b0-0877-4402-9df5-d272017ac77d,Converse,Natural Ivory/Black,men,2020-02-01 23:59:59,105.0,Converse Jack Purcell Ox End Blueprint,2020
ca5f9376-87f6-4ce3-9a5b-6a03d69b1341,Converse,Black/White-Egret,men,2020-02-01 23:59:59,119.0,Converse Chuck Taylor All-Star 70s Hi End Blueprint,2020
f121212e-0abb-47fc-b50e-0c85cc86bf73,Nike,White/Black-Metallic Gold-Vachetta Tan,men,2020-01-31 23:59:59,140.0,Air Force 1 Low White Vachetta Tan,2020
3dc1f1bc-6798-4b82-ab35-18888abf3796,Nike,Black/Sail-Metallic Gold-Vachetta Tan,men,2020-01-31 23:59:59,140.0,Air Force 1 Low Black Pack,2020
001dab60-2e28-4b3e-a484-b0744995d5a8,adidas,Core Black/Signal Green/Cloud White,men,2020-01-31 23:59:59,180.0,adidas CodeChaos Boa Signal Green,2020
0b33c3f8-6bb7-4277-93db-00d7e584a77a,adidas,Core Black/Cloud White/Solar Red,child,2020-01-31 23:59:59,70.0,adidas CodeChaos Boa Core Black (GS),2020
0f70aedc-e17d-4a42-9b9d-4bde5c29e958,adidas,Core Black/Signal Green/Cloud White,women,2020-01-31 23:59:59,150.0,adidas CodeChaos Boa Signal Green (W),2020
34f66878-5eef-457d-8abe-0b31a8991bf1,adidas,Cloud White/Grey One/Solar Red,men,2020-01-31 23:59:59,180.0,adidas CodeChaos Boa Cloud White,2020
420d7a97-934f-4d17-866c-336ddba95cc1,adidas,Cloud White/Silver Metallic/Shock Pink,child,2020-01-31 23:59:59,70.0,adidas CodeChaos Boa Cloud White Shock Pink (GS),2020
4a56228d-403a-424c-aa1f-cf44da16707d,adidas,Cloud White/Silver Metallic/Signal Coral,women,2020-01-31 23:59:59,150.0,adidas CodeChaos Boa Cloud White (W),2020
624852f0-9dfc-4be3-9e5d-02bc97253577,adidas,Cloud White/Silver Metallic/Glory Blue,men,2020-01-31 23:59:59,130.0,adidas CodeChaos Cloud White Glory Blue,2020
a0436172-b9e2-40d2-8f1a-0c60dee1fb50,adidas,Grey Two/Grey Three/Solar Red,men,2020-01-31 23:59:59,130.0,adidas CodeChaos Sport Grey Two,2020
b7435fb2-431d-41e5-b88f-0db4f8cb1b69,adidas,Core Black/Solid Grey/Glory Blue,men,2020-01-31 23:59:59,130.0,adidas CodeChaos Sport Core Black,2020
